id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm
33599538,230.000,Korišteno,Sarajevo - Centar,Čekaluša,73.0,3,2,Plin,Parket,33599538,4678,Prije 1950,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33600120,250.000,Korišteno,Sarajevo - Centar,Titova,83.0,4,2,Plin,Laminat,33600120,6954,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33603744,145.000,Korišteno,"Sarajevo, Novi Grad",N.Smailagića,86.0,4,11,Centralno (gradsko),Nije uneseno,33603744,6599,Nije uneseno,Da,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33604834,150.000,Korišteno,Stari Grad,Derviša Numića,93.0,3,1,Plin,Laminat,33604834,19473,1960-1969,Nije uneseno,5,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33604842,320.000,Korišteno,Sarajevo - Centar,Obala Maka Dizdara,107.0,4,Visoko prizemlje,Centralno (Plin),Parket,33604842,3424,Prije 1950,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33609074,243.000,Korišteno,Sarajevo - Centar,Zaima Šarca,108.0,4,5,Centralno (gradsko),Parket,33609074,5611,Nije uneseno,Da,5,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33609601,93.500,Korišteno,"Sarajevo, Novi Grad",Adema Buće,53.0,2,7,Centralno (Plin),Parket,33609601,18230,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,True,Nije uneseno
33617874,250.000,Korišteno,Novo Sarajevo,Grbavička,75.0,3,1,Centralno (gradsko),Parket,33617874,10624,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Da
33629238,314.000,Korišteno,Sarajevo - Centar,Sutjeska,106.0,4,1,Centralno (Plin),Parket,33629238,8339,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33633364,Po dogovoru,Korišteno,Sarajevo - Centar,Maršala Tita,133.0,4,4,Centralno (Plin),Nije uneseno,33633364,4300,Nije uneseno,Da,3,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33633922,250.000,Korišteno,Novo Sarajevo,Grbavička,74.0,3,1,Centralno (gradsko),Parket,33633922,9275,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Da
33706857,225.000,Korišteno,Stari Grad,Mula Mustafe Bašeskije,86.0,3,Prizemlje,Centralno (Plin),Parket,33706857,3823,Prije 1950,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33711327,115.000,Korišteno,Stari Grad,Pehlivanusa,44.0,1,1,Struja,Parket,33711327,18543,2000-2009,Da,1m2,Nije uneseno,Da,Nije uneseno,Nije uneseno,True,Nije uneseno
33713490,191.000,Korišteno,"Sarajevo, Novi Grad",Hasana Sućeske,103.0,4,8,Struja,Nije uneseno,33713490,4370,2000-2009,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno
33740488,121.500,Korišteno,Ilidža,Pijačna,56.0,3,2,Centralno (Plin),Laminat,33740488,4919,2010-2020,Nije uneseno,1,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33742191,98.000,Korišteno,"Sarajevo, Novi Grad",Adema Buće 116,53.0,2,7,Centralno (Plin),Parket,33742191,5498,2000-2009,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,True,Nije uneseno
33761037,294.000,Korišteno,Sarajevo - Centar,Cobanija,98.0,5,Prizemlje,Centralno (gradsko),Nije uneseno,33761037,3862,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno
33773558,324.900,Korišteno,Stari Grad,Obala Kulina Bana,125.0,4,2,Centralno (Plin),Nije uneseno,33773558,4309,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33775353,570.000,Korišteno,Sarajevo - Centar,Podgaj,160.0,5,6,Plin,Parket,33775353,4366,2000-2009,Nije uneseno,Ni.e uneseno,Da,Nije uneseno,Da,Da,Nije uneseno,Da
33776418,Po dogovoru,Korišteno,"Sarajevo, Novi Grad",Nije uneseno,89.0,4,19,Centralno (gradsko),Nije uneseno,33776418,6502,Nije uneseno,Da,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33776879,Po dogovoru,Korišteno,"Sarajevo, Novi Grad",Nije uneseno,68.0,3,10,Centralno (Kotlovnica),Nije uneseno,33776879,5427,Nije uneseno,Da,Ni.e uneseno,Da,Da,Nije uneseno,Da,True,Nije uneseno
33847769,135.000,Korišteno,Sarajevo - Centar,Avde Jabučice,59.0,2,3,Plin,Parket,33847769,12394,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33859667,Po dogovoru,Korišteno,Sarajevo - Centar,Zaima Šarca Bjelave,65.0,3,4,Centralno (Plin),Nije uneseno,33859667,6324,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33859856,Po dogovoru,Korišteno,Sarajevo - Centar,Zaima Šarca,65.0,3,4,Centralno (Plin),Parket,33859856,13334,2000-2009,Nije uneseno,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,True,Nije uneseno
33862488,145.000,Korišteno,Sarajevo - Centar,SKENDERIJA,54.0,3,2,Struja,Parket,33862488,28213,1970-1979,Da,3,Nije uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno
33870287,315.000,Korišteno,Sarajevo - Centar,Hamze Hume,95.0,3,1,Plin,Parket,33870287,4206,Prije 1950,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33900297,95.000,Korišteno,Novo Sarajevo,Džemala Bijedića,68.0,3,Suteren,Centralno (gradsko),Parket,33900297,14954,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
33909070,140.000,Korišteno,"Sarajevo, Novi Grad","Otoka II, Adema Buče",72.0,3,Visoko prizemlje,Centralno (Plin),Parket,33909070,10283,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno
