id,Cijena,Stanje,Lokacija,Adresa,Kvadrata,Broj soba,Sprat,Vrsta grijanja,Vrsta poda,OLX ID,Broj pregleda,Godina izgradnje,Balkon,Kvadratura balkona,Lift,Parking,Garaža,Klima,Novogradnja,Alarm,x,y,Point
39696589,363.600,Novo,Sarajevo - Centar,Odobašina,101.09,4,1,Struja,Parket,39696589,1406,2010-2019,Da,5,Nije uneseno,Da,Da,Da,True,Nije uneseno,43.859755328557114,18.40982546267395,"(43.859755328557114, 18.40982546267395)"
39696609,337.320,Novo,Sarajevo - Centar,Odobašina,93.7,3,Visoko prizemlje,Struja,Nije uneseno,39696609,1684,2010-2019,Da,5,Nije uneseno,Da,Da,Da,True,Da,43.85998740505409,18.409643072460938,"(43.85998740505409, 18.409643072460938)"
39697974,139.000,Korišteno,Ilidža,Stupska,61.0,2,5,Centralno (Plin),Parket,39697974,521,Nije uneseno,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Nije uneseno,True,Nije uneseno,43.84168357129211,18.32596050654297,"(43.84168357129211, 18.32596050654297)"
39698250,142.800,Korišteno,Novo Sarajevo,Hamdije Čemerlića,56.0,2,7,Plin,Laminat,39698250,3303,2000-2009,Da,2,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.849549617625,18.393642961502,"(43.849549617625, 18.393642961502)"
39698809,227.000,Korišteno,Stari Grad,Muse Ćazima Ćatića,81.0,3,2,Plin,Parket,39698809,562,Nije uneseno,Nije uneseno,-,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.86158748804944,18.4252340256256,"(43.86158748804944, 18.4252340256256)"
39700870,Po dogovoru,Korišteno,Sarajevo - Centar,Ismeta Mujezinovića,143.0,5,2,Plin,Parket,39700870,1073,Nije uneseno,Da,15,Nije uneseno,Da,Da,Da,True,Da,43.87036803631934,18.416681188916016,"(43.87036803631934, 18.416681188916016)"
39704059,240.000,Korišteno,Sarajevo - Centar,Vladimira Perića Valtera br. 5,108.0,4,3,Plin,Parket,39704059,3255,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.85633983164031,18.410388726567078,"(43.85633983164031, 18.410388726567078)"
39704165,103.000,Korišteno,Ilidža,Dr.Silve Rizvanbegović,57.0,2,12,Centralno (Kotlovnica),Parket,39704165,3093,2010-2020,Da,4,Da,Da,Nije uneseno,Da,True,Nije uneseno,43.842372270914,18.332623113736,"(43.842372270914, 18.332623113736)"
39704232,82.500,Korišteno,Novo Sarajevo,Drinska 1,28.0,1,5,Struja,Parket,39704232,3764,Nije uneseno,Da,4,Nije uneseno,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.85953223048159,18.38994409909231,"(43.85953223048159, 18.38994409909231)"
39706500,136.500,Korišteno,Ilidža,Pijačna 114,70.05,3,3,Plin,Parket,39706500,374,2010-2020,Da,2 m2,Da,Da,Nije uneseno,Da,True,Nije uneseno,43.84199310019565,18.314545024975587,"(43.84199310019565, 18.314545024975587)"
39707792,118.000,Korišteno,"Sarajevo, Novi Grad",Branislava Nušića,45.0,1,7,Centralno (gradsko),Parket,39707792,1154,2000-2009,Da,4,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.834058802413,18.339429795742,"(43.834058802413, 18.339429795742)"
39709930,152.500,Korišteno,"Sarajevo, Novi Grad",Vladimira Nazora,87.0,4,2,Centralno (Plin),Parket,39709930,2965,Nije uneseno,Da,10,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.82688776079748,18.344312272383103,"(43.82688776079748, 18.344312272383103)"
39712188,159.000,Korišteno,Ilidža,Ustanička,57.0,3,2,Centralno (Plin),Parket,39712188,537,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.832071899785404,18.305575718029786,"(43.832071899785404, 18.305575718029786)"
39712511,160.000,Korišteno,Novo Sarajevo,Avde Smajlovića,68.0,3,Visoko prizemlje,Centralno (Plin),Parket,39712511,1100,1980-1989,Da,4,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.84683364307359,18.399197720684818,"(43.84683364307359, 18.399197720684818)"
39713683,141.000,Korišteno,Stari Grad,Safvet bega Bašagića,48.0,3,2,Centralno (Plin),Parket,39713683,1448,1960-1969,Da,2,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.862848387387935,18.431274360327137,"(43.862848387387935, 18.431274360327137)"
39714016,115.000,Korišteno,"Sarajevo, Novi Grad",Gandijeva,101.0,4,5,Centralno (gradsko),Parket,39714016,2451,1980-1989,Da,7 m2,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.82876085048913,18.357428274465928,"(43.82876085048913, 18.357428274465928)"
39714781,144.702,Novo,"Sarajevo, Novi Grad",Adema Buće,60.0,2,4,Centralno (Plin),Nije uneseno,39714781,455,2010-2019,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.85509785022854,18.366258106542954,"(43.85509785022854, 18.366258106542954)"
39714937,135.000,Korišteno,Sarajevo - Centar,Josipa Vancasa,40.0,2,2,Plin,Nije uneseno,39714937,1753,Nije uneseno,Da,10,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.8562586,18.4130763,"(43.8562586, 18.4130763)"
39715284,115.000,Korišteno,Ilidža,Bojnička,42.0,2,4,Centralno (Kotlovnica),Brodski,39715284,1545,Nije uneseno,Da,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Da,True,Nije uneseno,43.84728579592468,18.318321575268556,"(43.84728579592468, 18.318321575268556)"
39715628,149.642,Novo,"Sarajevo, Novi Grad",Adema Buće,62.0,2,3,Centralno (Plin),Nije uneseno,39715628,336,2010-2019,Nije uneseno,Ni.e uneseno,Da,Da,Nije uneseno,Da,Nije uneseno,Nije uneseno,43.85596433221972,18.366172275854478,"(43.85596433221972, 18.366172275854478)"
39715828,145.000,Korišteno,Novo Sarajevo,Behdžeta Mutevelića,85.0,4,5,Plin,Nije uneseno,39715828,2333,Nije uneseno,Nije uneseno,Ni.e uneseno,Nije uneseno,Da,Nije uneseno,Nije uneseno,Nije uneseno,Nije uneseno,43.849889906756864,18.38991727749329,"(43.849889906756864, 18.38991727749329)"
